Str1,elem,PP_radius_s,PP_radius_p,USFE,SurfEne,ISIS,Number,EleNeg_Miedema,EleDensity_Miedema,V0_Miedema,Period,Group,M_Num2,Mass,Radius_Coval,VaporHeat,Ion_Pot_1,Ion_Pot_2,Ion_Pot_3,Radius_vDW,EleNeg_Pauling,No_Spectral_lines,MaxR_Ele_in_Solid,Heat_Capacity,BoilingT,MeltingT,Heat_Fusion,Heat_Sublimation,CohEnergy,DebyeT,Therm_Conduc,Ele_Conduc,S298,Electron_Affinity,Y_wiki,B_wiki,G_wiki,WorkFunc,NsVal,NpVal,NdVal,Nval,NsUnfill,NpUnfill,NdUnfill,NUnfill,Va_Activa,DFTBh,DFTGh,DFTYoung,DFTv0,NDFTC11,NDFTC12,NDFTC44,DFTBhvGh,DFTGvb,DFTGV,DFTpoisson,ratio_bh,Gb2pih,BGsq,GGB32,PackingEff,SpaceGroup,NfVal,NfUnfill,Va_Form,DFTC11,DFTC12,DFTC44,DFTC13,DFTC33,NDFTCxx
fcc,Fe,0.95,1.16,0.47,,10.123,26,4.93,5.55,7.09,4,8,59,55.85,132,347,7.9,16.18,30.64,194,1.83,3045,0.66,25078.9,3160,1811,15365.6,417843,4.28,470,0.8,1.02,27.28,0.153,211,170,82,4.5,2,0,6,8,0,0,4,4,3.3,193.07,171.02,396.11,10.448,342.25,118.48,227.31,1.129,5.457,1786.8,0.1581,0.707107,19.2471,1.0625,134.1986,0.740481,229,0,0,2.36,342.25,118.48,227.31,118.48,342.25,188.83
fcc,Co,0.92,1.1,0.23,2.15,4.952,27,5.1,5.36,6.7,4,9,62,58.93,126,375,7.86,17.05,33.49,192,1.88,920,0.58,24660.3,3150,1770,15240,425379,4.39,445,1,1.72,30.04,0.662,209,180,75,5,2,0,7,9,0,0,3,3,3.27,213.45,102.91,265.99,10.901,296.59,171.88,143.98,2.074,3.147,1121.84,0.2923,0.707107,11.5819,1.4402,23.9242,0.740481,194,0,0,2.05,296.59,171.88,143.98,171.88,296.59,116.77
fcc,Ni,0.96,1.22,0.279,2.04,5.39,28,5.2,5.36,6.6,4,10,65,58.69,124,378,7.63,18.15,36.16,163,1.91,505,0.57,26083.8,3110,1728,17626.4,424123,4.44,450,0.91,1.43,29.8,1.157,200,180,76,5.15,2,0,8,10,0,0,2,2,2.92,198.54,92.26,239.65,10.92,275.49,160.07,126.35,2.152,2.816,1007.47,0.2988,0.707107,10.3824,1.467,19.9189,0.740481,225,0,0,1.65,275.49,160.07,126.35,160.07,275.49,103.47
fcc,Cu,0.88,1.16,0.146,1.42,2.329,29,4.45,3.18,7.12,4,11,68,63.55,132,300,7.72,20.29,36.83,140,1.9,353,0.58,24492.8,3150,1358,13062.8,338712,3.49,343,4.01,5.88,33.15,1.236,130,140,48,4.51,1,0,10,11,1,0,0,1,2.05,140.17,49.59,133.07,12.025,174.82,122.84,76.3,2.827,1.375,596.3,0.3418,0.707107,5.5808,1.6812,6.207,0.740481,225,0,0,1.24,174.82,122.84,76.3,122.84,174.82,59.53
fcc,Rb,1.67,2.43,0.001,,0.006,37,2.1,0.22,56.07,5,1,3,85.47,220,71,4.18,27.56,40,303,0.82,97,3.4,30898.6,978,313,2344.6,81684,0.85,56,0.58,0.8,76.78,0.486,2.4,2.5,0.63,2.16,1,0,0,1,1,0,0,1,0.48,2.81,0.92,2.49,91.107,3.22,2.61,1.85,3.052,0.003,83.97,0.3523,0.707107,0.1037,1.7471,0.0989,0.740481,229,0,0,0.25,3.22,2.61,1.85,2.61,3.22,1.34
fcc,Sr,1.42,1.79,0.022,0.35,0.111,38,2.4,0.59,33.93,5,2,9,87.62,195,137,5.69,11.03,43.6,249,0.95,92,2,27214.2,1630,1042,9211,163704,1.72,147,0.35,0.47,55.69,0.052,15.6,11.9,6.1,2.59,2,0,0,2,0,0,0,0,1.57,12.01,6.86,17.28,53.911,14.98,10.52,13.88,1.751,0.042,369.62,0.2601,0.707107,0.7716,1.3233,2.2356,0.740481,225,0,0,1.05,14.98,10.52,13.88,10.52,14.98,10
fcc,Y,1.32,1.62,0.084,0.95,1.486,39,3.2,1.77,19.9,5,3,15,88.91,190,380,6.38,12.23,20.5,219,1.22,98,1.1,25162.7,3610,1801,17165.9,376812,4.37,280,0.17,0.17,44.43,0.307,63.5,41.2,25.6,3.1,2,0,1,3,0,0,9,9,2.62,40.3,23.48,58.98,32.175,59.3,30.8,32.81,1.716,0.243,755.43,0.2561,0.707107,2.6423,1.3101,7.9692,0.740481,194,0,0,1.84,59.3,30.8,32.81,30.8,59.3,26.62
fcc,Zr,1.265,1.56,0.06,1.51,1.369,40,3.45,2.8,14,5,4,46,91.22,175,580,6.84,12.92,24.8,186,1.33,134,0.8,25162.7,4598,2128,22915.2,610435,6.25,291,0.23,0.24,39.18,0.433,68,98.4,33,4.05,2,0,2,4,0,0,8,8,2.56,93.14,31.1,83.95,23.242,116.5,81.46,45.65,2.995,0.446,722.77,0.3498,0.707107,3.4997,1.7306,3.4667,0.740481,194,0,0,2.15,116.5,81.46,45.65,81.46,116.5,36.27
fcc,Tc,1.16,1.49,0.239,,7.704,43,5.3,5.93,8.64,5,7,55,97.91,147,550,7.23,14.87,31.9,209,1.9,100,0.45,24283.4,4200,2477,23027.4,648954,6.85,440,0.51,0.7,32.99,0.55,322,281,123,4.9,2,0,5,7,0,0,5,5,4.07,300.01,140.07,363.63,14.694,437.7,231.17,171.8,2.142,3.178,2058.25,0.298,0.707107,15.7637,1.4635,30.5338,0.740481,194,0,0,2.92,437.7,231.17,171.8,231.17,437.7,148.95
fcc,Ru,1.145,1.46,0.536,1.99,14.255,44,5.4,6.13,8.2,5,8,58,101.07,146,580,7.36,16.6,30.3,207,2.2,763,0.43,23864.8,4500,2527,25539.5,667794,6.74,600,1.17,1.35,28.61,1.046,447,220,173,4.71,1,0,7,8,1,0,3,4,5.22,308.82,187.48,467.78,13.941,479.14,223.66,242.47,1.647,4.483,2613.73,0.2475,0.707107,21.099,1.2834,69.0971,0.740481,194,0,0,2.95,479.14,223.66,242.47,223.66,479.14,204.22
