,Composition,Phase,Temperature,process,grain_size_micro,ultimate tensile strength
213,HfZrTaTiNb,['BCC'],298.0,"['CW', 'A']",,959000000.0
214,AlCrFeCoCuNi,"['BCC', 'FCC', 'FCC']",298.0,['AC'],,790000000.0
215,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",4.4,670000000.0
216,Cr0.2Fe1Co1Si0.2Ni1,['FCC'],298.0,['HR'],,1070000000.0
217,Mn1Cr1Fe1Co1Ni1C0.5,['FCC'],298.0,"['CW', 'A']",4.7,791400000.0
218,AlCr2Fe2Co2(CuNi)2,"['FCC', 'FCC']",973.0,"['CW', 'A']",,180000000.0
219,Al0.7Cr1Fe1Ni2.3,"['B2', 'BCC', 'FCC']",298.0,['AC'],,835000000.0
220,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],973.0,['A'],,560000000.0
221,Al16Cr16Fe16Co16Ni35.5,,81.0,,,1000000000.0
222,MnCrFeCuNi,"['BCC', 'FCC', 'FCC']",298.0,['A'],,671000000.0
223,Al16Cr16Fe16Co16Ni35.5,"['B2', 'FCC']",298.0,['AC'],,1110000000.0
224,CrFeCoNi,['FCC'],298.0,"['CW', 'A']",0.553,732000000.0
225,Ti0.3Cr1Fe1Co1Ni1,['FCC'],298.0,"['A', 'HR']",90,772000000.0
226,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],1173.0,['A'],,312000000.0
227,Ti6Al10Cr8Fe15Co25Ni36,"['C1', 'FCC', 'L12']",973.0,['A'],,624000000.0
228,CrFeCoNi,['FCC'],4.2,"['A', 'HF']",,1251000000.0
229,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",,1366300000.0
230,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],873.0,['A'],,561000000.0
231,CrFeCoNi,['FCC'],293.0,"['A', 'HF']",,664000000.0
232,Mn19.6Cr19.6Fe19.6Co19.6Ni19.6C2,"['FCC', 'carbide']",298.0,"['HF', 'CW', 'A']",4,857000000.0
233,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['A'],,895000000.0
234,HfZrTaTiNb,['BCC'],298.0,"['CW', 'A']",40,1004000000.0
235,TaTiNb,['BCC'],298.0,['AC'],500,683000000.0
236,AlCr2Fe2Co2(CuNi)2,"['FCC', 'FCC']",298.0,"['A', 'CW']",,1344000000.0
237,Al7Cr23Fe23(CoNi)23,"['FCC', 'L12']",298.0,['A'],,525000000.0
238,Al16Cr16Fe16Co16Ni34.4,"['B2', 'FCC']",298.0,['AC'],,1050000000.0
239,HfZrTaTiNb,['BCC'],298.0,"['CW', 'A']",,953000000.0
